list-i-none,2,1,6,247500,41250
list-i-none,8,1,24,428024,17834
list-d-none,2,1,6,266374,44395
list-d-none,8,1,24,469858,19577
list-d-none,12,1,36,1043732,28992
list-dl-none,2,1,6,229839,38306
list-dl-none,8,1,24,404806,16866
list-dl-none,12,1,36,872899,24247
list-none-none,1,10,1,30,258235,8607,4203089
list-none-none,1,100,1,300,300542,1001,4203089
list-none-none,1,1000,1,3000,3698110,1232,4203089
list-none-none,1,10000,1,30000,617212561,20573,4203089
list-none-none,1,20000,1,60000,3312619244,55210,4203089
list-none-none,2,100,1,600,422781,704,4203089
list-none-none,4,1,1,12,300889,25074,4203089
list-none-none,4,1000,1,12000,57314835,4776,4203089
list-i-none,4,2,1,24,304614,12692,4203089
list-i-none,4,4,1,48,292306,6089,4203089
list-i-none,4,8,1,96,276958,2884,4203089
list-i-none,4,16,1,192,288116,1500,4203089
list-i-none,8,1,1,24,400733,16697,4203089
list-i-none,8,2,1,48,748635,15596,4203089
list-i-none,8,4,1,96,370212,3856,4203089
list-i-none,12,4,1,144,571036,3965,4203089
list-i-none,12,8,1,288,750215,2604,4203089
list-i-none,12,16,1,576,1216617,2112,4203089
list-d-none,2,1,1,6,226630,37771,4203089
list-d-none,2,2,1,12,241570,20130,4203089
list-d-none,2,4,1,24,283588,11816,4203089
list-d-none,4,1,1,12,249054,20754,4203089
list-d-none,4,2,1,24,281635,11734,4203089
list-d-none,4,8,1,96,303805,3164,4203089
list-d-none,8,1,1,24,419309,17471,4203089
list-d-none,12,1,1,36,1201032,33362,4203089
list-d-none,12,2,1,72,472469,6562,4203089
list-il-none,2,1,1,6,201852,33642,4203089
list-il-none,2,32,1,192,366525,1908,4203089
list-il-none,8,2,1,48,384721,8015,4203089
list-il-none,12,4,1,144,1149001,7979,4203089
list-dl-none,2,1,1,6,238384,39730,4203089
list-dl-none,2,2,1,12,276058,23004,4203089
list-dl-none,2,4,1,24,217783,9074,4203089
list-dl-none,2,8,1,48,238818,4975,4203089
list-dl-none,4,1,1,12,275990,22999,4203089
list-dl-none,4,4,1,48,268772,5599,4203089
list-dl-none,4,8,1,96,304637,3173,4203089
list-dl-none,8,1,1,24,416694,17362,4203089
